locus_tag,ftype,length_bp,gene,EC_number,COG,product,strain,functional_category
GDCOHDAI_00025,CDS,231,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00026,CDS,651,,,,hypothetical protein,ANFW02000052,Other
GDCOHDAI_00027,CDS,816,,,,hypothetical protein,ANFW02000052,Other
BODKHAOB_00001,CDS,210,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00002,CDS,204,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00003,CDS,183,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00004,CDS,201,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00005,CDS,204,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00006,CDS,207,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00007,CDS,438,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00008,CDS,321,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00009,CDS,147,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00010,CDS,147,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00011,CDS,201,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00012,CDS,426,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00013,CDS,378,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00014,CDS,252,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00015,CDS,162,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00016,CDS,153,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00017,CDS,150,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00018,CDS,177,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00019,CDS,270,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00020,CDS,123,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00021,CDS,216,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00022,CDS,507,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00023,CDS,147,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00024,CDS,5790,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00025,CDS,150,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00026,CDS,1854,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00027,CDS,1497,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00028,CDS,1176,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00029,CDS,291,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00030,CDS,213,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00031,CDS,309,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00032,CDS,1170,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00033,CDS,162,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00034,CDS,1233,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00035,CDS,396,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00036,CDS,1326,erg,1.3.1.70,,Delta(14)-sterol reductase,ANFW02000053,Other
BODKHAOB_00037,CDS,894,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00038,CDS,324,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00039,CDS,975,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00040,CDS,465,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00041,CDS,300,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00042,CDS,240,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00043,CDS,645,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00044,CDS,705,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00045,CDS,555,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00046,CDS,684,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00047,CDS,2640,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00048,CDS,2052,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00049,CDS,4737,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00050,CDS,2445,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00051,CDS,573,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00052,CDS,345,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00053,CDS,234,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00054,CDS,234,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00055,CDS,2364,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00056,CDS,1848,btuD,7.6.2.8,,Vitamin B12 import ATP-binding protein BtuD,ANFW02000053,Other
BODKHAOB_00057,CDS,555,rpoB_1,2.7.7.6,,DNA-directed RNA polymerase subunit beta,ANFW02000053,Other
BODKHAOB_00058,CDS,984,rpoB_2,2.7.7.6,,DNA-directed RNA polymerase subunit beta,ANFW02000053,Other
BODKHAOB_00059,CDS,894,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00060,CDS,297,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00061,CDS,432,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00062,CDS,528,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00063,CDS,363,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00064,CDS,399,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00065,CDS,852,adk_1,2.7.4.3,,Adenylate kinase,ANFW02000053,Regulation
BODKHAOB_00066,CDS,192,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00067,CDS,669,yueD,1.1.1.320,COG1028,Benzil reductase ((S)-benzoin forming),ANFW02000053,Other
BODKHAOB_00068,CDS,192,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00069,CDS,2154,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00070,CDS,861,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00071,CDS,477,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00072,CDS,474,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00073,CDS,1221,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00074,CDS,261,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00075,CDS,1290,uup,3.6.1.-,,ATP-binding protein Uup,ANFW02000053,Other
BODKHAOB_00076,CDS,561,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00077,CDS,561,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00078,CDS,243,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00079,CDS,435,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00080,CDS,981,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00081,CDS,174,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00082,CDS,183,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00083,CDS,195,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00084,CDS,1566,pknD_1,2.7.11.1,,Serine/threonine-protein kinase PknD,ANFW02000053,Regulation
BODKHAOB_00085,CDS,2589,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00086,CDS,192,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00087,CDS,255,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00088,CDS,2040,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00089,CDS,765,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00090,CDS,669,yhfK,4.-.-.-,COG0702,putative sugar epimerase YhfK,ANFW02000053,Other
BODKHAOB_00091,CDS,2805,fhs,6.3.4.3,,Formate--tetrahydrofolate ligase,ANFW02000053,Metabolism
BODKHAOB_00092,CDS,132,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00093,CDS,1866,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00094,CDS,3453,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00095,CDS,519,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00096,CDS,696,pif1_1,5.6.2.3,COG0507,ATP-dependent DNA helicase Pif1,ANFW02000053,Other
BODKHAOB_00097,CDS,612,pif1_2,5.6.2.3,COG0507,ATP-dependent DNA helicase Pif1,ANFW02000053,Other
BODKHAOB_00098,CDS,249,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00099,CDS,945,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00100,CDS,567,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00101,CDS,1884,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00102,CDS,456,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00103,CDS,2091,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00104,CDS,1233,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00105,CDS,363,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00106,CDS,2256,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00107,CDS,2424,nagZ,3.2.1.52,,Beta-hexosaminidase,ANFW02000053,Other
BODKHAOB_00108,CDS,489,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00109,CDS,165,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00110,CDS,1662,pckA,4.1.1.49,,Phosphoenolpyruvate carboxykinase (ATP),ANFW02000053,Regulation
BODKHAOB_00111,CDS,825,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00112,CDS,750,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00113,CDS,438,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00114,CDS,2457,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00115,CDS,2706,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00116,CDS,294,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00117,CDS,450,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00118,CDS,1059,lysP_1,,COG0833,Lysine-specific permease LysP,ANFW02000053,Transport
BODKHAOB_00119,CDS,3693,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00120,CDS,159,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00121,CDS,192,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00122,CDS,117,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00123,CDS,159,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00124,CDS,255,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00125,CDS,5346,smc_1,,,Chromosome partition protein Smc,ANFW02000053,Other
BODKHAOB_00126,CDS,1050,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00127,CDS,306,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00128,CDS,1698,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00129,CDS,1344,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00130,CDS,165,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00131,tRNA,84,,,,tRNA-Ser(aga),ANFW02000053,Other
BODKHAOB_00132,CDS,1113,,1.1.1.1,COG1063,putative zinc-binding alcohol dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00133,CDS,879,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00134,CDS,315,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00135,CDS,1602,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00136,CDS,225,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00137,CDS,1332,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00138,CDS,123,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00139,CDS,336,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00140,CDS,312,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00141,CDS,996,gltA_1,2.3.3.16,,Citrate synthase,ANFW02000053,Metabolism
BODKHAOB_00142,CDS,204,gltA_2,2.3.3.16,,Citrate synthase,ANFW02000053,Metabolism
BODKHAOB_00143,CDS,1077,ileS_1,6.1.1.5,,Isoleucine--tRNA ligase,ANFW02000053,Metabolism
BODKHAOB_00144,CDS,1668,ileS_2,6.1.1.5,COG0060,Isoleucine--tRNA ligase,ANFW02000053,Metabolism
BODKHAOB_00145,CDS,1449,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00146,CDS,972,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00147,CDS,324,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00148,CDS,1599,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00149,CDS,156,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00150,CDS,162,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00151,CDS,291,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00152,CDS,852,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00153,CDS,390,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00154,CDS,216,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00155,CDS,291,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00156,CDS,498,csbC,,COG2814,putative metabolite transport protein CsbC,ANFW02000053,Other
BODKHAOB_00157,CDS,939,iolT_1,,COG2814,Major myo-inositol transporter IolT,ANFW02000053,Transport
BODKHAOB_00158,CDS,516,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00159,CDS,474,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00160,CDS,726,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00161,CDS,315,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00162,CDS,1263,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00163,CDS,216,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00164,CDS,357,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00165,CDS,204,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00166,CDS,309,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00167,CDS,117,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00168,CDS,2463,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00169,CDS,615,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00170,CDS,342,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00171,CDS,2454,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00172,CDS,246,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00173,CDS,363,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00174,CDS,1377,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00175,CDS,468,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00176,CDS,1893,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00177,CDS,210,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00178,CDS,1968,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00179,CDS,786,atpG,,COG0224,ATP synthase gamma chain,ANFW02000053,Metabolism
BODKHAOB_00180,CDS,243,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00181,CDS,252,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00182,CDS,2859,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00183,CDS,216,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00184,CDS,273,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00185,CDS,2241,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00186,CDS,870,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00187,CDS,1053,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00188,CDS,471,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00189,CDS,738,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00190,CDS,354,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00191,CDS,1125,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00192,CDS,861,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00193,CDS,789,mutS_1,,,DNA mismatch repair protein MutS,ANFW02000053,Other
BODKHAOB_00194,CDS,2184,mutS_2,,,DNA mismatch repair protein MutS,ANFW02000053,Other
BODKHAOB_00195,CDS,1461,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00196,CDS,246,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00197,CDS,495,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00198,CDS,1149,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00199,CDS,207,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00200,CDS,180,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00201,CDS,450,lysP_2,,COG0833,Lysine-specific permease LysP,ANFW02000053,Transport
BODKHAOB_00202,CDS,231,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00203,CDS,375,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00204,CDS,279,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00205,CDS,342,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00206,CDS,837,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00207,CDS,861,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00208,CDS,606,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00209,CDS,258,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00210,CDS,213,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00211,CDS,333,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00212,CDS,189,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00213,CDS,984,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00214,CDS,216,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00215,CDS,219,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00216,CDS,1803,rsmF,2.1.1.178,,Ribosomal RNA small subunit methyltransferase F,ANFW02000053,Other
BODKHAOB_00217,CDS,2316,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00218,CDS,1572,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00219,CDS,1224,dnaJ_1,,COG0484,Chaperone protein DnaJ,ANFW02000053,Stress response
BODKHAOB_00220,CDS,999,ubiG,2.1.1.222,,Ubiquinone biosynthesis O-methyltransferase,ANFW02000053,Other
BODKHAOB_00221,CDS,252,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00222,CDS,318,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00223,CDS,2085,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00224,CDS,372,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00225,CDS,1482,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00226,CDS,957,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00227,CDS,1335,rhlB_1,3.6.4.13,,ATP-dependent RNA helicase RhlB,ANFW02000053,Other
BODKHAOB_00228,CDS,423,rhlE,3.6.4.13,COG0513,ATP-dependent RNA helicase RhlE,ANFW02000053,Other
BODKHAOB_00229,tRNA,75,,,,tRNA-Ala(tgc),ANFW02000053,Other
BODKHAOB_00230,CDS,1518,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00231,CDS,534,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00232,CDS,612,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00233,CDS,96,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00234,CDS,813,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00235,CDS,213,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00236,CDS,1515,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00237,CDS,903,pdxY_1,2.7.1.35,,Pyridoxal kinase PdxY,ANFW02000053,Regulation
BODKHAOB_00238,CDS,333,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00239,CDS,1779,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00240,CDS,270,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00241,CDS,828,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00242,CDS,255,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00243,CDS,198,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00244,CDS,2340,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00245,CDS,384,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00246,CDS,129,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00247,CDS,129,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00248,CDS,840,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00249,CDS,537,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00250,CDS,168,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00251,CDS,567,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00252,CDS,507,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00253,CDS,228,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00254,CDS,555,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00255,CDS,630,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00256,CDS,744,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00257,CDS,249,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00258,CDS,723,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00259,CDS,675,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00260,CDS,411,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00261,CDS,399,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00262,CDS,702,,1.2.1.97,,3-sulfolactaldehyde dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00263,CDS,972,iolA,1.2.1.27,,Malonate-semialdehyde dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00264,CDS,333,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00265,CDS,138,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00266,CDS,573,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00267,CDS,663,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00268,CDS,408,rcsC_1,2.7.13.3,COG0784,Sensor histidine kinase RcsC,ANFW02000053,Regulation
BODKHAOB_00269,CDS,6708,rcsC_2,2.7.13.3,,Sensor histidine kinase RcsC,ANFW02000053,Regulation
BODKHAOB_00270,CDS,222,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00271,CDS,378,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00272,CDS,201,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00273,CDS,462,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00274,CDS,483,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00275,CDS,690,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00276,CDS,309,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00277,CDS,294,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00278,CDS,435,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00279,CDS,414,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00280,CDS,1545,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00281,tRNA,74,,,,tRNA-Cys(gca),ANFW02000053,Other
BODKHAOB_00282,CDS,924,bioC,2.1.1.197,,Malonyl-[acyl-carrier protein] O-methyltransferase,ANFW02000053,Other
BODKHAOB_00283,CDS,1983,dinB,2.7.7.7,,DNA polymerase IV,ANFW02000053,Other
BODKHAOB_00284,CDS,171,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00285,CDS,948,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00286,CDS,1080,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00287,CDS,222,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00288,CDS,291,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00289,CDS,3147,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00290,CDS,201,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00291,CDS,891,cntA,1.14.13.239,,Carnitine monooxygenase oxygenase subunit,ANFW02000053,Other
BODKHAOB_00292,CDS,210,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00293,CDS,285,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00294,CDS,372,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00295,CDS,1551,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00296,CDS,255,,,,hypothetical protein,ANFW02000053,Other
BODKHAOB_00297,CDS,1410,hisI,3.5.4.19,,Histidine biosynthesis bifunctional protein HisIE,ANFW02000053,Other
BODKHAOB_00298,CDS,285,hisD_1,1.1.1.23,COG0141,Histidinol dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00299,CDS,480,hisD_2,1.1.1.23,COG0141,Histidinol dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00300,CDS,318,hisD_3,1.1.1.23,COG0141,Histidinol dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00301,CDS,675,mdh_1,1.1.1.37,COG0039,Malate dehydrogenase,ANFW02000053,Redox / energy
BODKHAOB_00302,CDS,357,mdh_2,1.1.1.37,COG0039,Malate dehydrogenase,ANFW02000053,Redox / energy
